;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
26;0.0001;0.4;3;[32, 16, 64, 10];10.541301250457764;[0.10596666485071182, 0.12293333560228348, 0.14869999885559082, 0.1955166608095169];[2.298992156982422, 2.282261610031128, 2.26301908493042, 2.235797166824341];2.216045379638672;0.22300000488758087
27;0.0001;0.4;3;[32, 64, 16, 10];10.30333662033081;[0.11746666580438614, 0.13379999995231628, 0.16304999589920044, 0.20600000023841858];[2.3070931434631348, 2.277923107147217, 2.24912166595459, 2.216477394104004];2.190530776977539;0.24779999256134033
28;0.0001;0.4;3;[64, 16, 32, 10];10.805862426757812;[0.09533333033323288, 0.12931667268276215, 0.21061666309833527, 0.2604833245277405];[2.3045361042022705, 2.2836804389953613, 2.2568249702453613, 2.2210400104522705];2.1962199211120605;0.27889999747276306
29;0.0001;0.4;3;[64, 32, 16, 10];11.15285062789917;[0.12831667065620422, 0.21141666173934937, 0.30338332056999207, 0.38545000553131104];[2.2820441722869873, 2.2385497093200684, 2.1876673698425293, 2.1227433681488037];2.077899932861328;0.41909998655319214
30;0.0001;0.5;3;[16, 32, 64, 10];9.466025352478027;[0.12354999780654907, 0.20003333687782288, 0.27469998598098755, 0.3327000141143799];[2.291254758834839, 2.2435567378997803, 2.1872620582580566, 2.115933895111084];2.064828395843506;0.357699990272522
31;0.0001;0.5;3;[16, 64, 32, 10];9.575031280517578;[0.1737000048160553, 0.23791666328907013, 0.3167499899864197, 0.36551666259765625];[2.2993340492248535, 2.254143476486206, 2.2091643810272217, 2.152615785598755];2.1123738288879395;0.3912999927997589
32;0.0001;0.5;3;[32, 16, 64, 10];10.435832262039185;[0.10036666691303253, 0.13833333551883698, 0.1864333301782608, 0.24468334019184113];[2.311061382293701, 2.2787134647369385, 2.254462242126465, 2.2244863510131836];2.205378770828247;0.2904999852180481
33;0.0001;0.5;3;[32, 64, 16, 10];9.866875886917114;[0.09385000169277191, 0.10944999754428864, 0.16066665947437286, 0.24676667153835297];[2.294193983078003, 2.2269883155822754, 2.153754472732544, 2.064673900604248];2.004873275756836;0.2831999957561493
34;0.0001;0.5;3;[64, 16, 32, 10];10.248230457305908;[0.12638333439826965, 0.20364999771118164, 0.21613332629203796, 0.219283327460289];[2.3095057010650635, 2.274405002593994, 2.2442145347595215, 2.2083566188812256];2.1830687522888184;0.22259999811649323
35;0.0001;0.5;3;[64, 32, 16, 10];10.353087663650513;[0.11631666868925095, 0.1881999969482422, 0.24558334052562714, 0.29463332891464233];[2.28910231590271, 2.248337984085083, 2.190826654434204, 2.120267868041992];2.079535722732544;0.3292999863624573
