;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;accuracies;losses;AVG_loss;AVG_acc
106;0.001;0.7;3;[64, 16, 32, 10];14.359827518463135;[0.5431833267211914, 0.8493333458900452, 0.8876833319664001, 0.9026166796684265];[1.483282446861267, 0.5348491072654724, 0.3927735388278961, 0.3400793969631195];0.3137001693248749;0.9090999960899353
107;0.001;0.7;3;[64, 32, 16, 10];14.768540620803833;[0.504016637802124, 0.8355500102043152, 0.8839666843414307, 0.9031166434288025];[1.5893597602844238, 0.6058737635612488, 0.4225315451622009, 0.34719207882881165];0.31117695569992065;0.9114000201225281
108;0.001;0.8;3;[16, 32, 64, 10];12.026100635528564;[0.5372499823570251, 0.8344833254814148, 0.8877500295639038, 0.9050166606903076];[1.419820785522461, 0.5542563199996948, 0.3870318830013275, 0.3280172646045685];0.2947749197483063;0.9140999913215637
109;0.001;0.8;3;[16, 64, 32, 10];12.528787612915039;[0.5511500239372253, 0.8658666610717773, 0.8953666687011719, 0.9090499877929688];[1.427251935005188, 0.46790677309036255, 0.3590901494026184, 0.31378045678138733];0.29746150970458984;0.9106000065803528
110;0.001;0.8;3;[32, 16, 64, 10];12.407631158828735;[0.5756666660308838, 0.8678666949272156, 0.8967333436012268, 0.9086833596229553];[1.366760492324829, 0.45440155267715454, 0.3552241921424866, 0.31165793538093567];0.2814840078353882;0.9160000085830688
111;0.001;0.8;3;[32, 64, 16, 10];11.650962352752686;[0.5710499882698059, 0.8557000160217285, 0.8969166874885559, 0.9147999882698059];[1.3697359561920166, 0.5002909302711487, 0.36461061239242554, 0.29868021607398987];0.2630191147327423;0.9239000082015991
112;0.001;0.8;3;[64, 16, 32, 10];12.170732975006104;[0.5945000052452087, 0.8883000016212463, 0.9125999808311462, 0.9239833354949951];[1.325720191001892, 0.3935716152191162, 0.3029279410839081, 0.2611815929412842];0.23239192366600037;0.9315999746322632
113;0.001;0.8;3;[64, 32, 16, 10];12.159241199493408;[0.7087166905403137, 0.8883833289146423, 0.9131666421890259, 0.923966646194458];[1.0062777996063232, 0.403606653213501, 0.3093976378440857, 0.26586034893989563];0.24457432329654694;0.9294999837875366
114;0.001;0.9;3;[16, 32, 64, 10];11.07266354560852;[0.7071499824523926, 0.8970000147819519, 0.9136166572570801, 0.9235833287239075];[0.9422796964645386, 0.35496896505355835, 0.29429909586906433, 0.25842222571372986];0.24194099009037018;0.9283999800682068
115;0.001;0.9;3;[16, 64, 32, 10];11.335384607315063;[0.681683361530304, 0.8999666571617126, 0.9207666516304016, 0.928766667842865];[1.0303653478622437, 0.34751245379447937, 0.2770260274410248, 0.24409736692905426];0.23396117985248566;0.9305999875068665
116;0.001;0.9;3;[32, 16, 64, 10];12.7008535861969;[0.734666645526886, 0.9014333486557007, 0.9193166494369507, 0.932366669178009];[0.8522266745567322, 0.33671650290489197, 0.27151164412498474, 0.23125889897346497];0.21332138776779175;0.9387000203132629
117;0.001;0.9;3;[32, 64, 16, 10];12.212404251098633;[0.6852333545684814, 0.8949166536331177, 0.918066680431366, 0.9320166707038879];[0.9953346252441406, 0.36459922790527344, 0.2811013162136078, 0.23435114324092865];0.2263740748167038;0.9337999820709229
118;0.001;0.9;3;[64, 16, 32, 10];12.479589462280273;[0.7667333483695984, 0.9084500074386597, 0.9268333315849304, 0.9387500286102295];[0.7685104608535767, 0.31321021914482117, 0.25092220306396484, 0.21047057211399078];0.1932908594608307;0.9415000081062317
119;0.001;0.9;3;[64, 32, 16, 10];12.318090438842773;[0.7232999801635742, 0.9016000032424927, 0.9233499765396118, 0.9362166523933411];[0.9053581357002258, 0.3362129032611847, 0.26210489869117737, 0.21767111122608185];0.19078674912452698;0.9434999823570251
120;0.01;0.0;3;[16, 32, 64, 10];10.133925676345825;[0.7309666872024536, 0.8946333527565002, 0.9101166725158691, 0.9203500151634216];[0.8660322427749634, 0.35866662859916687, 0.3058840036392212, 0.2697724997997284];0.250613808631897;0.9247999787330627
121;0.01;0.0;3;[16, 64, 32, 10];10.398431539535522;[0.7093999981880188, 0.8933500051498413, 0.9121500253677368, 0.9232333302497864];[0.9338324069976807, 0.36515650153160095, 0.302456796169281, 0.2617115080356598];0.2387458235025406;0.9301000237464905
122;0.01;0.0;3;[32, 16, 64, 10];11.201214075088501;[0.704633355140686, 0.8976333141326904, 0.9134166836738586, 0.9231166839599609];[0.937620222568512, 0.3523029685020447, 0.29540932178497314, 0.2618260383605957];0.24590693414211273;0.9254999756813049
123;0.01;0.0;3;[32, 64, 16, 10];11.57898497581482;[0.7217166423797607, 0.9091500043869019, 0.9275833368301392, 0.9386333227157593];[0.9316526651382446, 0.3177236318588257, 0.24903623759746552, 0.21128493547439575];0.20471180975437164;0.940500020980835
124;0.01;0.0;3;[64, 16, 32, 10];11.478161811828613;[0.7332500219345093, 0.9071000218391418, 0.927483320236206, 0.9405999779701233];[0.8763368725776672, 0.31583961844444275, 0.24600282311439514, 0.2058195024728775];0.18801239132881165;0.9448000192642212
125;0.01;0.0;3;[64, 32, 16, 10];11.82060432434082;[0.7759833335876465, 0.9155166745185852, 0.9337833523750305, 0.9452333450317383];[0.7660728693008423, 0.2912709712982178, 0.22572168707847595, 0.18689574301242828];0.1750648021697998;0.9465000033378601
126;0.01;0.1;3;[16, 32, 64, 10];10.74219274520874;[0.7332666516304016, 0.9038666486740112, 0.9201499819755554, 0.9291666746139526];[0.8684552907943726, 0.3261418640613556, 0.27119964361190796, 0.23964591324329376];0.22010989487171173;0.9362999796867371
127;0.01;0.1;3;[16, 64, 32, 10];10.7704017162323;[0.7185166478157043, 0.8969833254814148, 0.9142000079154968, 0.9242500066757202];[0.9145734906196594, 0.35604771971702576, 0.2943480610847473, 0.2566172182559967];0.2382763922214508;0.9284999966621399
128;0.01;0.1;3;[32, 16, 64, 10];11.118237733840942;[0.7501000165939331, 0.9042666554450989, 0.9242500066757202, 0.9342166781425476];[0.8260893821716309, 0.32523486018180847, 0.25768229365348816, 0.22142784297466278];0.1944016069173813;0.9412000179290771
129;0.01;0.1;3;[32, 64, 16, 10];10.930467367172241;[0.7294166684150696, 0.9036333560943604, 0.9255666732788086, 0.9350333213806152];[0.8623818159103394, 0.32990172505378723, 0.2592553496360779, 0.2220970094203949];0.20531362295150757;0.9383000135421753
130;0.01;0.1;3;[64, 16, 32, 10];11.220275163650513;[0.7722166776657104, 0.9117833375930786, 0.9305499792098999, 0.9422500133514404];[0.7720712423324585, 0.30383074283599854, 0.23979242146015167, 0.1995030790567398];0.1887863278388977;0.9452000260353088
131;0.01;0.1;3;[64, 32, 16, 10];10.747537612915039;[0.7402333617210388, 0.9069833159446716, 0.9306833148002625, 0.9422500133514404];[0.8534938097000122, 0.3250443637371063, 0.2459949254989624, 0.20060326159000397];0.19090519845485687;0.9451000094413757
132;0.01;0.2;3;[16, 32, 64, 10];9.364938974380493;[0.6893333196640015, 0.9017000198364258, 0.9224500060081482, 0.9313666820526123];[0.9527290463447571, 0.3385483920574188, 0.27265340089797974, 0.2386448085308075];0.22636716067790985;0.9315999746322632
133;0.01;0.2;3;[16, 64, 32, 10];10.466880798339844;[0.7592333555221558, 0.9067166447639465, 0.9210166931152344, 0.9310166835784912];[0.8078751564025879, 0.32283666729927063, 0.2712794542312622, 0.2383722960948944];0.22527092695236206;0.9340000152587891
134;0.01;0.2;3;[32, 16, 64, 10];11.331348419189453;[0.7710333466529846, 0.906499981880188, 0.9226999878883362, 0.9346500039100647];[0.7607921361923218, 0.32056725025177, 0.2604914605617523, 0.2209053486585617];0.20115740597248077;0.9401999711990356
135;0.01;0.2;3;[32, 64, 16, 10];11.389957189559937;[0.7337166666984558, 0.9093666672706604, 0.9284499883651733, 0.9392833113670349];[0.840671718120575, 0.3137795031070709, 0.24731557071208954, 0.2073388546705246];0.1997232735157013;0.9415000081062317
136;0.01;0.2;3;[64, 16, 32, 10];12.044876098632812;[0.7558500170707703, 0.9054166674613953, 0.9269333481788635, 0.9401833415031433];[0.7875159382820129, 0.3207174837589264, 0.24842597544193268, 0.20342999696731567];0.19349275529384613;0.9404000043869019
137;0.01;0.2;3;[64, 32, 16, 10];12.35509181022644;[0.8087499737739563, 0.9208666682243347, 0.9391499757766724, 0.9494333267211914];[0.6699190735816956, 0.27159610390663147, 0.20881076157093048, 0.1721312701702118];0.1589820832014084;0.9532999992370605
138;0.01;0.3;3;[16, 32, 64, 10];10.057119607925415;[0.7642333507537842, 0.9089333415031433, 0.9242166876792908, 0.9336166381835938];[0.7620859146118164, 0.31171345710754395, 0.25753065943717957, 0.2264328896999359];0.20577669143676758;0.9399999976158142
139;0.01;0.3;3;[16, 64, 32, 10];9.664102792739868;[0.7860999703407288, 0.9070500135421753, 0.9222666621208191, 0.9323833584785461];[0.7274714112281799, 0.31803417205810547, 0.26116418838500977, 0.22974558174610138];0.20546954870224;0.9387999773025513
140;0.01;0.3;3;[32, 16, 64, 10];10.807543277740479;[0.7737500071525574, 0.9184333086013794, 0.9369666576385498, 0.9472000002861023];[0.7216000556945801, 0.27777618169784546, 0.2128262221813202, 0.1786409318447113];0.17666906118392944;0.9449999928474426
141;0.01;0.3;3;[32, 64, 16, 10];9.93815016746521;[0.779116690158844, 0.918066680431366, 0.9347166419029236, 0.9455333352088928];[0.7240809202194214, 0.2794020473957062, 0.21948722004890442, 0.18483707308769226];0.17372258007526398;0.9488999843597412
142;0.01;0.3;3;[64, 16, 32, 10];13.246994256973267;[0.7781166434288025, 0.9209666848182678, 0.938966691493988, 0.9508833289146423];[0.7285958528518677, 0.27202391624450684, 0.20760299265384674, 0.17037665843963623];0.16184090077877045;0.9521999955177307
143;0.01;0.3;3;[64, 32, 16, 10];12.27891755104065;[0.7807666659355164, 0.9198833107948303, 0.9416999816894531, 0.9514999985694885];[0.7231519818305969, 0.27344951033592224, 0.20020343363285065, 0.16257791221141815];0.1657983958721161;0.9506999850273132
144;0.01;0.4;3;[16, 32, 64, 10];11.10194993019104;[0.7909833192825317, 0.9127166867256165, 0.9251999855041504, 0.9334166646003723];[0.6979612708091736, 0.2976299226284027, 0.2527887225151062, 0.22402065992355347];0.2071327567100525;0.9398999810218811
145;0.01;0.4;3;[16, 64, 32, 10];10.614647388458252;[0.7821666598320007, 0.9126333594322205, 0.9284666776657104, 0.9369000196456909];[0.7048417925834656, 0.2950380742549896, 0.24150410294532776, 0.2113131284713745];0.19725748896598816;0.9402999877929688
146;0.01;0.4;3;[32, 16, 64, 10];11.415959596633911;[0.7640500068664551, 0.9120500087738037, 0.9299166798591614, 0.9417333602905273];[0.7417975068092346, 0.2959590256214142, 0.23307166993618011, 0.197573721408844];0.19380582869052887;0.9419999718666077
147;0.01;0.4;3;[32, 64, 16, 10];10.185739994049072;[0.8054999709129333, 0.9218166470527649, 0.9379333257675171, 0.9480500221252441];[0.657407283782959, 0.26935020089149475, 0.2130986452102661, 0.17992818355560303];0.1612289845943451;0.9538000226020813
148;0.01;0.4;3;[64, 16, 32, 10];12.600578784942627;[0.8138999938964844, 0.9290833473205566, 0.9461333155632019, 0.9544000029563904];[0.6266565322875977, 0.24319790303707123, 0.1876346915960312, 0.15509368479251862];0.16000500321388245;0.9527999758720398
149;0.01;0.4;3;[64, 32, 16, 10];11.072701215744019;[0.7824666500091553, 0.9240000247955322, 0.9438666701316833, 0.9540166854858398];[0.7065047025680542, 0.2614152133464813, 0.1931709200143814, 0.15715381503105164];0.1486707329750061;0.9541000127792358
150;0.01;0.5;3;[16, 32, 64, 10];8.99906039237976;[0.797950029373169, 0.9144666790962219, 0.9312833547592163, 0.9412000179290771];[0.6589847207069397, 0.2897399365901947, 0.23220294713974, 0.19696131348609924];0.18232125043869019;0.9438999891281128
151;0.01;0.5;3;[16, 64, 32, 10];9.768808841705322;[0.7982500195503235, 0.9204666614532471, 0.9349333047866821, 0.9446499943733215];[0.6481579542160034, 0.27126455307006836, 0.220569908618927, 0.1914922595024109];0.18526989221572876;0.9455000162124634
152;0.01;0.5;3;[32, 16, 64, 10];10.129751920700073;[0.8147000074386597, 0.9257833361625671, 0.9423999786376953, 0.9508166909217834];[0.613750696182251, 0.2555924952030182, 0.1973048597574234, 0.16586215794086456];0.1588239222764969;0.9502000212669373
153;0.01;0.5;3;[32, 64, 16, 10];10.184319019317627;[0.7907666563987732, 0.9276999831199646, 0.9446499943733215, 0.9539499878883362];[0.6680875420570374, 0.24182850122451782, 0.18296761810779572, 0.15103279054164886];0.156941756606102;0.953000009059906
154;0.01;0.5;3;[64, 16, 32, 10];10.928112030029297;[0.8187000155448914, 0.9262833595275879, 0.944183349609375, 0.9546666741371155];[0.5988003611564636, 0.25463446974754333, 0.1912553757429123, 0.15427882969379425];0.14259348809719086;0.9546999931335449
155;0.01;0.5;3;[64, 32, 16, 10];10.937571048736572;[0.8384166955947876, 0.9341833591461182, 0.9505833387374878, 0.9598833322525024];[0.5524057745933533, 0.22795426845550537, 0.170176699757576, 0.13814103603363037];0.15925723314285278;0.9527000188827515
156;0.01;0.6;3;[16, 32, 64, 10];8.918981552124023;[0.8082333207130432, 0.9209499955177307, 0.9347333312034607, 0.9436500072479248];[0.6130616068840027, 0.26967793703079224, 0.2190581113100052, 0.18816086649894714];0.16692614555358887;0.9491999745368958
157;0.01;0.6;3;[16, 64, 32, 10];9.26585602760315;[0.8188499808311462, 0.9215166568756104, 0.9362000226974487, 0.9457666873931885];[0.5911393761634827, 0.2663491666316986, 0.2132422924041748, 0.1827804297208786];0.17202235758304596;0.9502000212669373
158;0.01;0.6;3;[32, 16, 64, 10];9.556828737258911;[0.816349983215332, 0.9258166551589966, 0.9414666891098022, 0.9508833289146423];[0.579233705997467, 0.2515145242214203, 0.19436734914779663, 0.1648116558790207];0.15872859954833984;0.9516000151634216
159;0.01;0.6;3;[32, 64, 16, 10];9.60097050666809;[0.8139500021934509, 0.9318333268165588, 0.9469166398048401, 0.9544666409492493];[0.5954999327659607, 0.23342205584049225, 0.18214602768421173, 0.15279972553253174];0.14692214131355286;0.9546999931335449
160;0.01;0.6;3;[64, 16, 32, 10];11.765137910842896;[0.8330833315849304, 0.9358999729156494, 0.9527333378791809, 0.9623166918754578];[0.5494029521942139, 0.21996447443962097, 0.1612101048231125, 0.12953028082847595];0.12300027906894684;0.9617000222206116
161;0.01;0.6;3;[64, 32, 16, 10];11.509544134140015;[0.8362333178520203, 0.938966691493988, 0.9544833302497864, 0.9610833525657654];[0.5478023290634155, 0.20881545543670654, 0.15800736844539642, 0.12964153289794922];0.13124646246433258;0.9613999724388123
162;0.01;0.7;3;[16, 32, 64, 10];9.153255462646484;[0.8310499787330627, 0.9280333518981934, 0.940583348274231, 0.9465000033378601];[0.5483697056770325, 0.24610574543476105, 0.20208929479122162, 0.17613080143928528];0.167867973446846;0.948199987411499
163;0.01;0.7;3;[16, 64, 32, 10];9.56361198425293;[0.8383833169937134, 0.9298333525657654, 0.9416833519935608, 0.9491000175476074];[0.5293219685554504, 0.2376978099346161, 0.19603535532951355, 0.17061635851860046];0.1602908968925476;0.9538000226020813
164;0.01;0.7;3;[32, 16, 64, 10];10.417033672332764;[0.8461166620254517, 0.9369166493415833, 0.9524333477020264, 0.9595166444778442];[0.5045703053474426, 0.21255704760551453, 0.1603742390871048, 0.1348065435886383];0.1317596733570099;0.9589999914169312
165;0.01;0.7;3;[32, 64, 16, 10];10.353694677352905;[0.8169999718666077, 0.9333333373069763, 0.9500499963760376, 0.9595500230789185];[0.5934237837791443, 0.22628261148929596, 0.16896924376487732, 0.13910527527332306];0.1361939013004303;0.9585000276565552
166;0.01;0.7;3;[64, 16, 32, 10];10.896270751953125;[0.8576499819755554, 0.9462500214576721, 0.9594500064849854, 0.9662166833877563];[0.46332111954689026, 0.1820249855518341, 0.13556239008903503, 0.11170702427625656];0.11626303941011429;0.9649999737739563
167;0.01;0.7;3;[64, 32, 16, 10];11.720140218734741;[0.8546333312988281, 0.9436500072479248, 0.9586666822433472, 0.965666651725769];[0.48160499334335327, 0.19337818026542664, 0.14144110679626465, 0.1134759858250618];0.12714186310768127;0.961899995803833
168;0.01;0.8;3;[16, 32, 64, 10];9.323979139328003;[0.8489500284194946, 0.9323999881744385, 0.9442833065986633, 0.9502999782562256];[0.4798358678817749, 0.22319743037223816, 0.18443281948566437, 0.16201701760292053];0.16012921929359436;0.9527999758720398
169;0.01;0.8;3;[16, 64, 32, 10];9.826945304870605;[0.8593833446502686, 0.9318666458129883, 0.9444166421890259, 0.9517666697502136];[0.45606622099876404, 0.2281799018383026, 0.18523088097572327, 0.1594112515449524];0.17666690051555634;0.9459999799728394
170;0.01;0.8;3;[32, 16, 64, 10];10.421683073043823;[0.859749972820282, 0.940416693687439, 0.9531999826431274, 0.9613833427429199];[0.45988115668296814, 0.1991620510816574, 0.15360605716705322, 0.12649492919445038];0.12888118624687195;0.9603000283241272
171;0.01;0.8;3;[32, 64, 16, 10];11.210201978683472;[0.8712999820709229, 0.9420666694641113, 0.9542499780654907, 0.9617499709129333];[0.42905154824256897, 0.1924007534980774, 0.15109214186668396, 0.12517854571342468];0.14833572506904602;0.9555000066757202
172;0.01;0.8;3;[64, 16, 32, 10];12.445589780807495;[0.8857166767120361, 0.9511833190917969, 0.9647666811943054, 0.9705666899681091];[0.38726019859313965, 0.16324205696582794, 0.12079111486673355, 0.0984821617603302];0.1028500497341156;0.9668999910354614
173;0.01;0.8;3;[64, 32, 16, 10];12.068618535995483;[0.8718666434288025, 0.9490166902542114, 0.9618666768074036, 0.9691166877746582];[0.41961395740509033, 0.1707092970609665, 0.12650610506534576, 0.1015663668513298];0.10124275833368301;0.9675999879837036
174;0.01;0.9;3;[16, 32, 64, 10];10.651123285293579;[0.872083306312561, 0.9382833242416382, 0.9478333592414856, 0.9539166688919067];[0.4099225699901581, 0.20163974165916443, 0.17127260565757751, 0.1493380218744278];0.17104224860668182;0.9460999965667725
175;0.01;0.9;3;[16, 64, 32, 10];10.018132448196411;[0.876800000667572, 0.9365333318710327, 0.9484999775886536, 0.9543499946594238];[0.3987400531768799, 0.20926041901111603, 0.17006395757198334, 0.14973323047161102];0.14766275882720947;0.954200029373169
176;0.01;0.9;3;[32, 16, 64, 10];17.143383502960205;[0.8826166391372681, 0.9491666555404663, 0.958383321762085, 0.9648333191871643];[0.37667039036750793, 0.16918398439884186, 0.13669072091579437, 0.11711587756872177];0.12781231105327606;0.9591000080108643
177;0.01;0.9;3;[32, 64, 16, 10];13.7303626537323;[0.8895166516304016, 0.9501833319664001, 0.960099995136261, 0.9670166373252869];[0.35302072763442993, 0.16223053634166718, 0.12756086885929108, 0.10757356137037277];0.10939960926771164;0.9674000144004822
178;0.01;0.9;3;[64, 16, 32, 10];16.527456045150757;[0.895466685295105, 0.9570333361625671, 0.9666000008583069, 0.9733666777610779];[0.33703306317329407, 0.14148731529712677, 0.10850659012794495, 0.08777789026498795];0.09079018980264664;0.9713000059127808
179;0.01;0.9;3;[64, 32, 16, 10];13.797980546951294;[0.8991666436195374, 0.9561166763305664, 0.965583324432373, 0.9731000065803528];[0.3294922709465027, 0.14573752880096436, 0.11042513698339462, 0.0876205712556839];0.10856779664754868;0.9682000279426575
180;0.1;0.0;3;[16, 32, 64, 10];10.862587451934814;[0.8772500157356262, 0.9353833198547363, 0.945816695690155, 0.9516666531562805];[0.39502188563346863, 0.21096885204315186, 0.1765260398387909, 0.15518449246883392];0.14237265288829803;0.9564999938011169
181;0.1;0.0;3;[16, 64, 32, 10];10.919152736663818;[0.8788166642189026, 0.9381999969482422, 0.9470166563987732, 0.9521666765213013];[0.39744216203689575, 0.2093304842710495, 0.17617344856262207, 0.15747684240341187];0.1576046347618103;0.9513000249862671
182;0.1;0.0;3;[32, 16, 64, 10];11.879674434661865;[0.8855000138282776, 0.9487500190734863, 0.9589166641235352, 0.9639333486557007];[0.3684210181236267, 0.17036539316177368, 0.13638855516910553, 0.11878854781389236];0.12973295152187347;0.9592999815940857
183;0.1;0.0;3;[32, 64, 16, 10];12.30296778678894;[0.8879500031471252, 0.9510166645050049, 0.9621833562850952, 0.967283308506012];[0.36119750142097473, 0.16429921984672546, 0.12408705055713654, 0.10422836989164352];0.10783327370882034;0.9672999978065491
184;0.1;0.0;3;[64, 16, 32, 10];12.855652093887329;[0.8972833156585693, 0.9573000073432922, 0.9669333100318909, 0.9727500081062317];[0.3333342373371124, 0.14177745580673218, 0.10845758020877838, 0.08827158808708191];0.0928560346364975;0.9724000096321106
185;0.1;0.0;3;[64, 32, 16, 10];12.621549844741821;[0.8878666758537292, 0.95701664686203, 0.9678166508674622, 0.9731500148773193];[0.3586301803588867, 0.14515991508960724, 0.10754082351922989, 0.08846359699964523];0.10106877237558365;0.9696000218391418
186;0.1;0.1;3;[16, 32, 64, 10];10.720316886901855;[0.880816638469696, 0.939466655254364, 0.9484500288963318, 0.9531166553497314];[0.3856504261493683, 0.201050266623497, 0.16973456740379333, 0.15354719758033752];0.16927751898765564;0.9485999941825867
187;0.1;0.1;3;[16, 64, 32, 10];11.329467058181763;[0.8846666812896729, 0.9387500286102295, 0.950166642665863, 0.9566500186920166];[0.3699919581413269, 0.19876128435134888, 0.16259613633155823, 0.14366745948791504];0.14250078797340393;0.9538000226020813
188;0.1;0.1;3;[32, 16, 64, 10];12.679563045501709;[0.8901500105857849, 0.9519166946411133, 0.9601666927337646, 0.9656166434288025];[0.3495655953884125, 0.158446803689003, 0.130435049533844, 0.11100901663303375];0.1168203353881836;0.9631999731063843
189;0.1;0.1;3;[32, 64, 16, 10];13.287244081497192;[0.8957499861717224, 0.9527833461761475, 0.9622499942779541, 0.9673500061035156];[0.3420789837837219, 0.15869997441768646, 0.12617728114128113, 0.10804903507232666];0.1955598145723343;0.9409000277519226
190;0.1;0.1;3;[64, 16, 32, 10];14.590420722961426;[0.9011666774749756, 0.9586666822433472, 0.9673500061035156, 0.9736999869346619];[0.31840986013412476, 0.13744036853313446, 0.10593527555465698, 0.08716514706611633];0.11085032671689987;0.9668999910354614
191;0.1;0.1;3;[64, 32, 16, 10];14.77998423576355;[0.9037500023841858, 0.9588833451271057, 0.9681666493415833, 0.9739833474159241];[0.30970093607902527, 0.13511304557323456, 0.10334602743387222, 0.08427177369594574];0.11415068060159683;0.9650999903678894
192;0.1;0.2;3;[16, 32, 64, 10];13.129093885421753;[0.8822500109672546, 0.9365333318710327, 0.9470833539962769, 0.9533666372299194];[0.37477558851242065, 0.2072014957666397, 0.17370736598968506, 0.15584257245063782];0.1540314108133316;0.9523000121116638
193;0.1;0.2;3;[16, 64, 32, 10];11.657686471939087;[0.8855500221252441, 0.9408166408538818, 0.9491666555404663, 0.9546833038330078];[0.37029150128364563, 0.19756145775318146, 0.16748382151126862, 0.15063704550266266];0.19039824604988098;0.9435999989509583
194;0.1;0.2;3;[32, 16, 64, 10];12.82424259185791;[0.8884666562080383, 0.947700023651123, 0.9583500027656555, 0.9628666639328003];[0.3587026000022888, 0.1727452576160431, 0.1380591243505478, 0.12200247496366501];0.13202615082263947;0.9621999859809875
195;0.1;0.2;3;[32, 64, 16, 10];12.7083580493927;[0.8920666575431824, 0.9519666433334351, 0.9620833396911621, 0.9689000248908997];[0.3468188941478729, 0.1577162891626358, 0.12391643971204758, 0.1037026047706604];0.13084368407726288;0.9602000117301941
196;0.1;0.2;3;[64, 16, 32, 10];13.558847427368164;[0.9031833410263062, 0.9581999778747559, 0.9675999879837036, 0.9727166891098022];[0.3138274848461151, 0.1380828469991684, 0.10500779002904892, 0.08873187005519867];0.09936206042766571;0.9714000225067139
197;0.1;0.2;3;[64, 32, 16, 10];14.550836086273193;[0.9035333395004272, 0.9579833149909973, 0.9686833620071411, 0.9734166860580444];[0.3155520260334015, 0.13813233375549316, 0.10471983999013901, 0.08653035759925842];0.10861563682556152;0.9670000076293945
198;0.1;0.3;3;[16, 32, 64, 10];12.127992868423462;[0.8903666734695435, 0.9414166808128357, 0.9508333206176758, 0.9552333354949951];[0.35588833689689636, 0.19381530582904816, 0.16466304659843445, 0.14778929948806763];0.15562593936920166;0.953000009059906
199;0.1;0.3;3;[16, 64, 32, 10];13.512545585632324;[0.8840000033378601, 0.937749981880188, 0.9497833251953125, 0.9540833234786987];[0.3714662194252014, 0.20356011390686035, 0.16815589368343353, 0.1500522494316101];0.14219088852405548;0.9574999809265137
200;0.1;0.3;3;[32, 16, 64, 10];13.483617782592773;[0.9004666805267334, 0.9523000121116638, 0.9607499837875366, 0.9659833312034607];[0.3225163221359253, 0.16026578843593597, 0.13106530904769897, 0.1132088229060173];0.12697187066078186;0.9628000259399414
201;0.1;0.3;3;[32, 64, 16, 10];12.841997623443604;[0.9000166654586792, 0.9517499804496765, 0.9623166918754578, 0.9689000248908997];[0.3253933787345886, 0.16152848303318024, 0.12519486248493195, 0.10512017458677292];0.12766492366790771;0.9620000123977661
202;0.1;0.3;3;[64, 16, 32, 10];14.625463485717773;[0.9004999995231628, 0.9572666883468628, 0.9672999978065491, 0.9729499816894531];[0.32056906819343567, 0.14117032289505005, 0.10899638384580612, 0.09093883633613586];0.11073537915945053;0.9681000113487244
203;0.1;0.3;3;[64, 32, 16, 10];13.492767333984375;[0.9057000279426575, 0.9601500034332275, 0.9684000015258789, 0.9743000268936157];[0.3063501715660095, 0.13129352033138275, 0.10046270489692688, 0.08259981125593185];0.11690246313810349;0.9643999934196472
204;0.1;0.4;3;[16, 32, 64, 10];11.253990411758423;[0.8871666789054871, 0.9399833083152771, 0.9486500024795532, 0.9548500180244446];[0.3633669316768646, 0.20136161148548126, 0.1690664291381836, 0.1511077582836151];0.15612763166427612;0.9539999961853027
205;0.1;0.4;3;[16, 64, 32, 10];11.220109224319458;[0.8877999782562256, 0.9398000240325928, 0.949150025844574, 0.954800009727478];[0.36162111163139343, 0.20002241432666779, 0.16719172894954681, 0.1507108211517334];0.16796153783798218;0.9488999843597412
206;0.1;0.4;3;[32, 16, 64, 10];14.131022930145264;[0.8969500064849854, 0.9477166533470154, 0.9585333466529846, 0.9635999798774719];[0.33050328493118286, 0.1691448837518692, 0.13832788169384003, 0.11969756335020065];0.12159042060375214;0.9635999798774719
207;0.1;0.4;3;[32, 64, 16, 10];14.65510082244873;[0.8990166783332825, 0.9521666765213013, 0.9620500206947327, 0.9667500257492065];[0.3248075246810913, 0.16034507751464844, 0.12707072496414185, 0.11196139454841614];0.13562044501304626;0.9606000185012817
208;0.1;0.4;3;[64, 16, 32, 10];18.58582830429077;[0.911050021648407, 0.9590666890144348, 0.9682999849319458, 0.9728000164031982];[0.2899525463581085, 0.13697658479213715, 0.10486222058534622, 0.08738616853952408];0.12736116349697113;0.9638000130653381
209;0.1;0.4;3;[64, 32, 16, 10];14.067205667495728;[0.9037833213806152, 0.9583500027656555, 0.9669333100318909, 0.9746666550636292];[0.311278373003006, 0.13923338055610657, 0.10723523795604706, 0.08437784016132355];0.12580189108848572;0.9628000259399414
210;0.1;0.5;3;[16, 32, 64, 10];11.187355041503906;[0.8865666389465332, 0.939216673374176, 0.9479166865348816, 0.9521833062171936];[0.36338716745376587, 0.2039310187101364, 0.17388899624347687, 0.15702897310256958];0.21962253749370575;0.9284999966621399
211;0.1;0.5;3;[16, 64, 32, 10];11.2378511428833;[0.8920000195503235, 0.940500020980835, 0.9484666585922241, 0.9534833431243896];[0.3513164520263672, 0.19932615756988525, 0.17123572528362274, 0.15086324512958527];0.17206022143363953;0.9491000175476074
212;0.1;0.5;3;[32, 16, 64, 10];14.213418960571289;[0.8958333134651184, 0.9466666579246521, 0.9563000202178955, 0.9619500041007996];[0.3363535702228546, 0.17394021153450012, 0.14334557950496674, 0.12389570474624634];0.16035708785057068;0.9562000036239624
