;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.0001;0.9;3;[32, 32, 32, 10];21.03608465194702;[0.25068333745002747, 0.6515833139419556, 0.7889500260353088, 0.8299333453178406];[2.1297199726104736, 1.4251960515975952, 0.8209148049354553, 0.6057214140892029];0.5246328711509705;0.8508999943733215;0.8508999943733215
1;0.1;0.7;3;[64, 32, 64, 10];24.07882046699524;[0.9142333269119263, 0.9571999907493591, 0.9671000242233276, 0.9708166718482971];[0.27968016266822815, 0.14369547367095947, 0.11113962531089783, 0.09522389620542526];0.11140036582946777;0.9670000076293945;0.9670000076293945
2;0.001;0.2;3;[32, 64, 16, 10];21.136902332305908;[0.30621665716171265, 0.5791666507720947, 0.7553499937057495, 0.8149999976158142];[2.0620033740997314, 1.431158423423767, 0.9128562211990356, 0.6621865034103394];0.5523235201835632;0.8407999873161316;0.9670000076293945
3;0.001;0.6;3;[16, 32, 64, 10];17.314115047454834;[0.3368833363056183, 0.7868666648864746, 0.8625166416168213, 0.884066641330719];[1.9399380683898926, 0.7757392525672913, 0.4743684232234955, 0.39927271008491516];0.3645469546318054;0.8910999894142151;0.9670000076293945
4;0.0001;0.7;3;[32, 32, 64, 10];21.088419914245605;[0.12291666865348816, 0.1696166694164276, 0.2793999910354614, 0.4094333350658417];[2.266068935394287, 2.1844170093536377, 2.0933918952941895, 1.9733383655548096];1.894731879234314;0.45739999413490295;0.9670000076293945
5;0.0001;0.4;3;[32, 16, 64, 10];20.63266348838806;[0.11195000261068344, 0.1287499964237213, 0.15666666626930237, 0.19503332674503326];[2.304699659347534, 2.2878854274749756, 2.272562026977539, 2.2566559314727783];2.2453415393829346;0.2249000072479248;0.9670000076293945
6;0.0001;0.5;3;[16, 64, 32, 10];17.14521884918213;[0.07708333432674408, 0.09974999725818634, 0.14896667003631592, 0.2086833268404007];[2.326323986053467, 2.2975635528564453, 2.2740304470062256, 2.2467432022094727];2.2250139713287354;0.24040000140666962;0.9670000076293945
7;1.0;0.5;3;[64, 64, 16, 10];23.228521823883057;[0.10361666977405548, 0.10180000215768814, 0.10378333181142807, 0.10226666927337646];[2.317044734954834, 2.315598964691162, 2.3153514862060547, 2.315568208694458];2.3265109062194824;0.10100000351667404;0.9670000076293945
8;0.1;0.9;3;[64, 16, 64, 10];22.643556118011475;[0.870033323764801, 0.9275500178337097, 0.9342333078384399, 0.9135666489601135];[0.48576077818870544, 0.3065349757671356, 0.2951793670654297, 0.3618134558200836];0.3305017054080963;0.9233999848365784;0.9670000076293945
9;1.0;0.3;3;[32, 64, 32, 10];21.779606342315674;[0.1029166653752327, 0.10204999893903732, 0.10639999806880951, 0.10213333368301392];[2.316783905029297, 2.311746120452881, 2.3110122680664062, 2.3123245239257812];2.3168094158172607;0.10090000182390213;0.9670000076293945
10;1.0;0.9;3;[16, 32, 32, 10];17.297154903411865;[0.10204999893903732, 0.10005000233650208, 0.09928333014249802, 0.10166666656732559];[2.375880241394043, 2.3791768550872803, 2.3737845420837402, 2.3750858306884766];2.382115602493286;0.11349999904632568;0.9670000076293945
11;0.1;0.4;3;[16, 16, 32, 10];16.99917507171631;[0.8745166659355164, 0.9294166564941406, 0.9396499991416931, 0.9439666867256165];[0.4029330909252167, 0.2356468290090561, 0.20318764448165894, 0.18534156680107117];0.1918012499809265;0.942799985408783;0.9670000076293945
12;1.0;0.6;3;[64, 32, 32, 10];23.834596395492554;[0.09920000284910202, 0.09871666878461838, 0.09871666878461838, 0.09871666878461838];[nan, nan, nan, nan];;0.09799999743700027;0.9670000076293945
