;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;1.0;0.0;3;[32, 16, 64, 10];18.23640775680542;[0.2897166609764099, 0.18535000085830688, 0.19011667370796204, 0.19654999673366547];[1.799670696258545, 1.9732213020324707, 1.9517275094985962, 1.9318740367889404];1.9256187677383423;0.20399999618530273;0.20399999618530273
1;0.0001;0.6;3;[32, 32, 32, 10];18.352283716201782;[0.13394999504089355, 0.20206665992736816, 0.24241666495800018, 0.310699999332428];[2.2745673656463623, 2.201765775680542, 2.1154074668884277, 2.0040946006774902];1.9223896265029907;0.35569998621940613;0.35569998621940613
2;0.01;0.2;3;[16, 64, 64, 10];16.167385816574097;[0.7784333229064941, 0.9086499810218811, 0.9226166605949402, 0.9314500093460083];[0.7551848888397217, 0.31401923298835754, 0.2650585174560547, 0.23480398952960968];0.21301142871379852;0.9355000257492065;0.9355000257492065
3;1.0;0.9;3;[32, 32, 32, 10];18.45328164100647;[0.10204999893903732, 0.10046666860580444, 0.10178333520889282, 0.1010499969124794];[2.378922700881958, 2.3745064735412598, 2.3757264614105225, 2.3777525424957275];2.3483502864837646;0.09740000218153;0.9355000257492065
4;0.1;0.4;3;[32, 64, 64, 10];18.675960779190063;[0.9068333506584167, 0.9534833431243896, 0.9631999731063843, 0.9679333567619324];[0.30457594990730286, 0.1537773758172989, 0.1213199719786644, 0.10190621018409729];0.1307932585477829;0.9596999883651733;0.9596999883651733
5;0.01;0.9;3;[16, 32, 32, 10];15.490087270736694;[0.8665000200271606, 0.9362333416938782, 0.9464166760444641, 0.9521833062171936];[0.42445462942123413, 0.21415576338768005, 0.1747407764196396, 0.1558116227388382];0.17219972610473633;0.9484000205993652;0.9596999883651733
6;0.01;0.7;3;[16, 64, 64, 10];15.69817566871643;[0.8498666882514954, 0.9279500246047974, 0.9404666423797607, 0.9473999738693237];[0.5024372935295105, 0.24221858382225037, 0.20032048225402832, 0.17740648984909058];0.18548688292503357;0.9419000148773193;0.9596999883651733
7;0.001;0.0;3;[64, 64, 16, 10];19.027427434921265;[0.17506666481494904, 0.4116833209991455, 0.6928333044052124, 0.7898499965667725];[2.2065927982330322, 1.8048003911972046, 1.229953646659851, 0.8067440986633301];0.6636906266212463;0.8259000182151794;0.9596999883651733
8;1.0;0.0;3;[64, 32, 16, 10];20.268134355545044;[0.10649999976158142, 0.1033666655421257, 0.10593333095312119, 0.1037166640162468];[2.3107662200927734, 2.3085250854492188, 2.3086190223693848, 2.3086750507354736];2.30918288230896;0.11349999904632568;0.9596999883651733
9;0.1;0.7;3;[64, 16, 32, 10];20.325191497802734;[0.907966673374176, 0.956333339214325, 0.96506667137146, 0.9695500135421753];[0.3018449544906616, 0.15224973857402802, 0.1199369803071022, 0.10311878472566605];0.1570286601781845;0.9571999907493591;0.9596999883651733
10;0.001;0.1;3;[32, 64, 32, 10];18.441935300827026;[0.2524000108242035, 0.5156833529472351, 0.7158166766166687, 0.7818833589553833];[2.2001876831054688, 1.615682601928711, 0.9634150266647339, 0.7056717276573181];0.6195534467697144;0.8144999742507935;0.9596999883651733
11;0.01;0.7;3;[64, 16, 64, 10];20.456860780715942;[0.8561166524887085, 0.9462666511535645, 0.9596499800682068, 0.9671333432197571];[0.47267788648605347, 0.18169935047626495, 0.13528569042682648, 0.10891249030828476];0.11586868762969971;0.9645000100135803;0.9645000100135803
12;0.1;0.8;3;[64, 16, 32, 10];20.39185667037964;[0.9005166888237, 0.9528499841690063, 0.9617833495140076, 0.9666666388511658];[0.33555153012275696, 0.1712116152048111, 0.14343877136707306, 0.12270088493824005];0.1446986347436905;0.9613999724388123;0.9645000100135803
13;0.01;0.5;3;[32, 32, 16, 10];18.26427698135376;[0.8300833106040955, 0.9280999898910522, 0.9436333179473877, 0.9521999955177307];[0.5767034292221069, 0.24440599977970123, 0.19252488017082214, 0.1626284271478653];0.15223948657512665;0.9549000263214111;0.9645000100135803
14;1.0;0.5;3;[64, 32, 32, 10];20.434147596359253;[0.10391666740179062, 0.10351666808128357, 0.1029166653752327, 0.10339999943971634];[2.3190858364105225, 2.3152542114257812, 2.315843343734741, 2.3156886100769043];2.310316324234009;0.11349999904632568;0.9645000100135803
15;0.001;0.1;3;[16, 32, 16, 10];15.475885152816772;[0.24631667137145996, 0.4101000130176544, 0.5979499816894531, 0.7147833108901978];[2.2104990482330322, 1.7818695306777954, 1.2402583360671997, 0.9267465472221375];0.8052908182144165;0.7580000162124634;0.9645000100135803
16;0.01;0.1;3;[16, 64, 32, 10];15.628855228424072;[0.7242000102996826, 0.9025999903678894, 0.9214833378791809, 0.9321500062942505];[0.8706095218658447, 0.33306652307510376, 0.27016347646713257, 0.23329512774944305];0.212661013007164;0.9361000061035156;0.9645000100135803
17;0.1;0.4;3;[16, 32, 64, 10];15.482360124588013;[0.883983314037323, 0.9336166381835938, 0.9444000124931335, 0.9499333500862122];[0.37439289689064026, 0.21615518629550934, 0.183914452791214, 0.16443614661693573];0.20454555749893188;0.9365000128746033;0.9645000100135803
18;0.0001;0.5;3;[16, 16, 16, 10];16.142151594161987;[0.15093334019184113, 0.1671999990940094, 0.19491666555404663, 0.23623333871364594];[2.2754929065704346, 2.2417845726013184, 2.2062017917633057, 2.1675965785980225];2.1418864727020264;0.26030001044273376;0.9645000100135803
19;0.0001;0.7;3;[64, 64, 64, 10];21.30746603012085;[0.11453333497047424, 0.2333499938249588, 0.4339333474636078, 0.6100500226020813];[2.286996603012085, 2.197323799133301, 2.0601024627685547, 1.8185499906539917];1.6435424089431763;0.6761999726295471;0.9645000100135803
20;0.0001;0.8;3;[16, 64, 32, 10];15.897103309631348;[0.1551833301782608, 0.28031668066978455, 0.42926666140556335, 0.5775666832923889];[2.275592088699341, 2.158198118209839, 1.9334512948989868, 1.6231099367141724];1.4645979404449463;0.6263999938964844;0.9645000100135803
21;0.001;0.1;3;[64, 64, 32, 10];20.829514026641846;[0.3382999897003174, 0.7010166645050049, 0.8172666430473328, 0.8564500212669373];[2.080230236053467, 1.2769840955734253, 0.7055910229682922, 0.5251135230064392];0.4577958881855011;0.8756999969482422;0.9645000100135803
22;0.001;0.4;3;[64, 64, 64, 10];20.774226427078247;[0.5330666899681091, 0.821066677570343, 0.866349995136261, 0.8873000144958496];[1.7568646669387817, 0.703106701374054, 0.4772505462169647, 0.40205657482147217];0.35758155584335327;0.8960999846458435;0.9645000100135803
23;0.01;0.2;3;[32, 16, 32, 10];18.381978750228882;[0.7426499724388123, 0.9038666486740112, 0.9254666566848755, 0.9387500286102295];[0.8129229545593262, 0.32951563596725464, 0.25525692105293274, 0.21036219596862793];0.19792649149894714;0.9394999742507935;0.9645000100135803
24;0.01;0.0;3;[32, 16, 16, 10];17.89043402671814;[0.7642499804496765, 0.9057999849319458, 0.9242333173751831, 0.9351333379745483];[0.8101060390472412, 0.3227042555809021, 0.2598956823348999, 0.22290228307247162];0.20192795991897583;0.9419999718666077;0.9645000100135803
25;1.0;0.6;3;[32, 64, 32, 10];18.005075454711914;[0.10406666994094849, 0.10365000367164612, 0.10183333605527878, 0.10130000114440918];[2.3235535621643066, 2.320082902908325, 2.319317102432251, 2.319528818130493];2.3261563777923584;0.10279999673366547;0.9645000100135803
26;1.0;0.0;3;[32, 64, 32, 10];17.80303192138672;[0.18154999613761902, 0.18365000188350677, 0.11186666786670685, 0.10206666588783264];[2.116373062133789, 2.1182336807250977, 2.2931549549102783, 2.3087754249572754];2.30570125579834;0.11349999904632568;0.9645000100135803
27;0.001;0.0;3;[16, 32, 16, 10];15.066029787063599;[0.21359999477863312, 0.36793333292007446, 0.48696666955947876, 0.6771666407585144];[2.19976544380188, 1.8492894172668457, 1.497238039970398, 1.1568336486816406];0.9578664302825928;0.7638000249862671;0.9645000100135803
28;0.1;0.8;3;[64, 64, 16, 10];20.823346853256226;[0.9069499969482422, 0.9515833258628845, 0.9610666632652283, 0.9661999940872192];[0.3172333538532257, 0.17717872560024261, 0.14102959632873535, 0.12525740265846252];0.13947972655296326;0.9639000296592712;0.9645000100135803
29;0.01;0.4;3;[16, 16, 64, 10];15.522556781768799;[0.7513333559036255, 0.9088000059127808, 0.9264833331108093, 0.9347833395004272];[0.7949294447898865, 0.310193806886673, 0.2546236217021942, 0.22193953394889832];0.20169149339199066;0.9420999884605408;0.9645000100135803
30;0.0001;0.5;3;[16, 32, 16, 10];15.456289291381836;[0.09735000133514404, 0.11945000290870667, 0.14544999599456787, 0.17981666326522827];[2.3008246421813965, 2.270673990249634, 2.2438018321990967, 2.2094566822052];2.185788631439209;0.19439999759197235;0.9645000100135803
31;0.0001;0.2;3;[32, 64, 64, 10];18.655632495880127;[0.12933333218097687, 0.19103333353996277, 0.24001666903495789, 0.2738666534423828];[2.2995433807373047, 2.2623822689056396, 2.223849058151245, 2.1795201301574707];2.1490988731384277;0.29179999232292175;0.9645000100135803
32;0.1;0.7;3;[16, 32, 16, 10];15.562934875488281;[0.8750166893005371, 0.930483341217041, 0.9393500089645386, 0.9430000185966492];[0.41726937890052795, 0.24825391173362732, 0.2172001451253891, 0.2021046131849289];0.22661755979061127;0.9336000084877014;0.9645000100135803
33;0.1;0.7;3;[32, 32, 32, 10];17.853523015975952;[0.9017333388328552, 0.9483000040054321, 0.9557499885559082, 0.9608666896820068];[0.3279481530189514, 0.1802157461643219, 0.15219314396381378, 0.13460180163383484];0.15696755051612854;0.9562000036239624;0.9645000100135803
34;0.01;0.3;3;[16, 16, 16, 10];16.134735345840454;[0.6431666612625122, 0.8968333601951599, 0.9168499708175659, 0.9278166890144348];[1.0994880199432373, 0.3578457236289978, 0.2896825969219208, 0.25171491503715515];0.2397259771823883;0.9287999868392944;0.9645000100135803
