;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.001;0.5;3;[64, 16, 16, 10];19.751134634017944;[0.24816666543483734, 0.6844666600227356, 0.815750002861023, 0.8605499863624573];[2.087167501449585, 1.1676548719406128, 0.6676871180534363, 0.503063440322876];0.44119536876678467;0.8777999877929688;0.8777999877929688
1;1.0;0.8;3;[32, 16, 32, 10];17.566866636276245;[0.10320000350475311, 0.10173333436250687, 0.10086666792631149, 0.10236666351556778];[2.353687286376953, 2.337435007095337, 2.338268756866455, 2.3371798992156982];2.3656766414642334;0.10279999673366547;0.8777999877929688
2;0.0001;0.5;3;[64, 16, 64, 10];19.537858963012695;[0.09221666306257248, 0.12666666507720947, 0.1701333373785019, 0.21618333458900452];[2.303331136703491, 2.2716095447540283, 2.2383148670196533, 2.1968636512756348];2.170682191848755;0.23589999973773956;0.8777999877929688
3;0.1;0.5;3;[64, 32, 64, 10];19.18512535095215;[0.9139666557312012, 0.9607666730880737, 0.9700833559036255, 0.9743333458900452];[0.27636969089508057, 0.1310834437608719, 0.09962528198957443, 0.08342614024877548];0.09370937198400497;0.9710999727249146;0.9710999727249146
4;0.1;0.1;3;[64, 16, 32, 10];18.447790145874023;[0.9012166857719421, 0.9566333293914795, 0.9660666584968567, 0.97243332862854];[0.3212166130542755, 0.1426786482334137, 0.1093405932188034, 0.08979199826717377];0.10280712693929672;0.9677000045776367;0.9710999727249146
5;1.0;0.2;3;[64, 16, 64, 10];18.441961765289307;[0.1059499979019165, 0.10328333079814911, 0.10328333079814911, 0.1049666702747345];[2.3121378421783447, 2.3102874755859375, 2.3102428913116455, 2.310190439224243];2.309910774230957;0.10100000351667404;0.9710999727249146
6;0.001;0.7;3;[64, 32, 32, 10];18.608128309249878;[0.5404000282287598, 0.8586000204086304, 0.8928833603858948, 0.9056500196456909];[1.4901483058929443, 0.5078067779541016, 0.37362900376319885, 0.3254997730255127];0.29321351647377014;0.9132999777793884;0.9710999727249146
7;0.1;0.1;3;[16, 32, 64, 10];15.585047960281372;[0.8792999982833862, 0.9348999857902527, 0.9468333125114441, 0.9525833129882812];[0.3905923068523407, 0.21179787814617157, 0.1736004501581192, 0.15657424926757812];0.1505836844444275;0.9557999968528748;0.9710999727249146
8;0.0001;0.0;3;[16, 32, 32, 10];14.89250111579895;[0.10913333296775818, 0.1351500004529953, 0.1599833369255066, 0.18234999477863312];[2.2902047634124756, 2.27473783493042, 2.259315013885498, 2.2430176734924316];2.232555866241455;0.19419999420642853;0.9710999727249146
9;0.1;0.2;3;[32, 64, 16, 10];17.815544843673706;[0.896233320236206, 0.9528999924659729, 0.9612666964530945, 0.9673166871070862];[0.3381175100803375, 0.15578360855579376, 0.12636736035346985, 0.1058521419763565];0.11272873729467392;0.9664999842643738;0.9710999727249146
10;0.0001;0.1;3;[16, 32, 64, 10];15.25723147392273;[0.10034999996423721, 0.11186666786670685, 0.12415000051259995, 0.13955000042915344];[2.307138442993164, 2.2968153953552246, 2.287386178970337, 2.277714252471924];2.2717251777648926;0.14740000665187836;0.9710999727249146
11;0.1;0.3;3;[64, 16, 16, 10];18.967121601104736;[0.8978000283241272, 0.9569666385650635, 0.9671666622161865, 0.9733499884605408];[0.33344683051109314, 0.14319398999214172, 0.10794438421726227, 0.0874405950307846];0.10995125770568848;0.9678999781608582;0.9710999727249146
