;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
0;0.1;0.4;3;[64, 32, 16, 10];17.434159517288208;[0.9050333499908447, 0.9590333104133606, 0.968916654586792, 0.9732333421707153];[0.3012438416481018, 0.13637782633304596, 0.10270577669143677, 0.08783697336912155];0.10999565571546555;0.9686999917030334;0.9686999917030334
1;0.01;0.2;3;[64, 64, 16, 10];16.975186824798584;[0.7551000118255615, 0.9118499755859375, 0.9345166683197021, 0.9458333253860474];[0.788094162940979, 0.30158156156539917, 0.22690054774284363, 0.1854632943868637];0.16369053721427917;0.9520000219345093;0.9686999917030334
2;0.01;0.3;3;[16, 64, 16, 10];15.172203779220581;[0.7185666561126709, 0.8939999938011169, 0.915149986743927, 0.9294833540916443];[0.8937456607818604, 0.3631459176540375, 0.2872297465801239, 0.2432432323694229];0.23168537020683289;0.9297999739646912;0.9686999917030334
3;1.0;0.6;3;[32, 32, 16, 10];16.90304923057556;[0.12224999815225601, 0.1040833368897438, 0.10206666588783264, 0.10324999690055847];[2.2775349617004395, 2.319575309753418, 2.3189916610717773, 2.319734811782837];2.3254098892211914;0.11349999904632568;0.9686999917030334
4;0.1;0.4;3;[64, 64, 16, 10];16.84263563156128;[0.9153500199317932, 0.9619500041007996, 0.9695166945457458, 0.9753666520118713];[0.2769499719142914, 0.12698011100292206, 0.09854727238416672, 0.07989267259836197];0.10941092669963837;0.967199981212616;0.9686999917030334
5;0.1;0.8;3;[16, 32, 16, 10];16.34770441055298;[0.8730666637420654, 0.9180333614349365, 0.9288666844367981, 0.9322166442871094];[0.4387195408344269, 0.2993825376033783, 0.26494622230529785, 0.25938934087753296];0.2263665348291397;0.9390000104904175;0.9686999917030334
6;0.01;0.4;3;[16, 64, 32, 10];17.20840072631836;[0.8201666474342346, 0.9133666753768921, 0.9275833368301392, 0.937250018119812];[0.5976709127426147, 0.28877416253089905, 0.240760937333107, 0.2093956470489502];0.1914503127336502;0.9419999718666077;0.9686999917030334
7;0.01;0.3;3;[16, 16, 16, 10];14.698503017425537;[0.7107999920845032, 0.9001333117485046, 0.9140833616256714, 0.9245833158493042];[0.8892878293991089, 0.34326398372650146, 0.2926715612411499, 0.26287251710891724];0.24958433210849762;0.9294000267982483;0.9686999917030334
8;0.001;0.3;3;[64, 16, 64, 10];18.85129141807556;[0.2921333312988281, 0.5718333125114441, 0.736050009727478, 0.8119666576385498];[2.1172120571136475, 1.3610683679580688, 0.8836585283279419, 0.6528922915458679];0.5528033971786499;0.8464999794960022;0.9686999917030334
9;0.001;0.1;3;[32, 16, 16, 10];16.652204513549805;[0.19966666400432587, 0.41226667165756226, 0.6603000164031982, 0.7370833158493042];[2.2028090953826904, 1.8029536008834839, 1.2025794982910156, 0.8591200113296509];0.7691181898117065;0.7649999856948853;0.9686999917030334
