;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
10;0.001;0.4;3;[32, 16, 64, 10];16.361557483673096;[0.29440000653266907, 0.6920166611671448, 0.8089500069618225, 0.8480333089828491];[2.1183462142944336, 1.2414675951004028, 0.6807875633239746, 0.5322818756103516];0.4779614210128784;0.8629000186920166;0.9686999917030334
11;0.01;0.8;3;[32, 32, 64, 10];16.196362018585205;[0.8641833066940308, 0.9426500201225281, 0.9545999765396118, 0.9615166783332825];[0.4407550096511841, 0.19255773723125458, 0.1529972106218338, 0.1291704922914505];0.12133254110813141;0.9610999822616577;0.9686999917030334
12;1.0;0.1;3;[64, 64, 32, 10];17.14284586906433;[0.289983332157135, 0.18333333730697632, 0.10351666808128357, 0.1023000031709671];[1.7550160884857178, 2.003521203994751, 2.30930757522583, 2.3095543384552];2.3109188079833984;0.09799999743700027;0.9686999917030334
13;1.0;0.6;3;[64, 16, 16, 10];16.708128452301025;[0.10313333570957184, 0.10433333367109299, 0.10260000079870224, 0.1018500030040741];[2.3217878341674805, 2.319380521774292, 2.3201098442077637, 2.319640874862671];2.326035261154175;0.09740000218153;0.9686999917030334
14;0.001;0.3;3;[32, 32, 32, 10];17.497975826263428;[0.34549999237060547, 0.6678166389465332, 0.8141000270843506, 0.8574833273887634];[2.0694966316223145, 1.2306846380233765, 0.6847428679466248, 0.5106619596481323];0.44867026805877686;0.8730999827384949;0.9686999917030334
15;1.0;0.5;3;[16, 32, 64, 10];17.80278491973877;[0.10286666452884674, 0.10163333266973495, 0.10623333603143692, 0.10088333487510681];[2.317078113555908, 2.315753221511841, 2.3157715797424316, 2.315230131149292];2.309699535369873;0.10320000350475311;0.9686999917030334
16;0.001;0.4;3;[64, 16, 64, 10];17.556700468063354;[0.32171666622161865, 0.7181500196456909, 0.8387500047683716, 0.8704333305358887];[2.1215624809265137, 1.1180003881454468, 0.5916128754615784, 0.45862412452697754];0.41179966926574707;0.8798999786376953;0.9686999917030334
17;0.01;0.4;3;[16, 64, 64, 10];17.81883454322815;[0.7809333205223083, 0.9138000011444092, 0.9294333457946777, 0.9388166666030884];[0.7034693956375122, 0.29361575841903687, 0.24041427671909332, 0.20618465542793274];0.1797606199979782;0.9463000297546387;0.9686999917030334
18;0.01;0.9;3;[32, 32, 16, 10];18.974689722061157;[0.8726333379745483, 0.9464499950408936, 0.9571666717529297, 0.9632999897003174];[0.4042816460132599, 0.18028724193572998, 0.1406257599592209, 0.11980105191469193];0.1395067274570465;0.9591000080108643;0.9686999917030334
19;0.01;0.7;3;[32, 16, 64, 10];17.17884635925293;[0.8453333377838135, 0.9359333515167236, 0.9509000182151794, 0.9585999846458435];[0.5000070929527283, 0.2149055302143097, 0.16446314752101898, 0.13849860429763794];0.14119522273540497;0.9555000066757202;0.9686999917030334
20;1.0;0.8;3;[16, 32, 64, 10];15.697432041168213;[0.10294999927282333, 0.10143333673477173, 0.10261666774749756, 0.10248333215713501];[2.337409734725952, 2.3372859954833984, 2.33781361579895, 2.335944890975952];2.3254642486572266;0.10100000351667404;0.9686999917030334
21;0.1;0.3;3;[64, 64, 16, 10];17.589021682739258;[0.9075999855995178, 0.9599166512489319, 0.9692166447639465, 0.9755833148956299];[0.29630932211875916, 0.13096068799495697, 0.10107983648777008, 0.07933571934700012];0.12318307161331177;0.9660000205039978;0.9686999917030334
22;0.001;0.3;3;[32, 32, 16, 10];16.25299572944641;[0.2292666733264923, 0.6015666723251343, 0.8057500123977661, 0.8496999740600586];[2.0924041271209717, 1.3160176277160645, 0.7157282829284668, 0.5323271751403809];0.4637092351913452;0.866100013256073;0.9686999917030334
23;0.001;0.0;3;[32, 32, 32, 10];16.805253267288208;[0.18173334002494812, 0.43631666898727417, 0.6776333451271057, 0.7937999963760376];[2.2449216842651367, 1.9917373657226562, 1.3621636629104614, 0.8089698553085327];0.6440266370773315;0.8349999785423279;0.9686999917030334
24;0.0001;0.7;3;[16, 32, 32, 10];16.5485680103302;[0.14248333871364594, 0.2071666717529297, 0.2818000018596649, 0.36523333191871643];[2.2748029232025146, 2.199770212173462, 2.100145101547241, 1.9620734453201294];1.866412878036499;0.4000999927520752;0.9686999917030334
25;0.0001;0.2;3;[32, 16, 32, 10];16.44645857810974;[0.1207333356142044, 0.15839999914169312, 0.18738333880901337, 0.21271666884422302];[2.300035238265991, 2.278724431991577, 2.259300470352173, 2.2372732162475586];2.2252700328826904;0.21690000593662262;0.9686999917030334
26;0.1;0.1;3;[64, 64, 16, 10];17.97330069541931;[0.8978833556175232, 0.9581833481788635, 0.9692833423614502, 0.9753333330154419];[0.32689642906188965, 0.1350153535604477, 0.0995938777923584, 0.07851862162351608];0.09541420638561249;0.9710000157356262;0.9710000157356262
27;0.01;0.6;3;[16, 64, 32, 10];15.71003532409668;[0.831683337688446, 0.9196000099182129, 0.9364500045776367, 0.9449333548545837];[0.5672184228897095, 0.2706006169319153, 0.21499000489711761, 0.18210293352603912];0.18343815207481384;0.9452000260353088;0.9710000157356262
28;0.01;0.8;3;[32, 64, 16, 10];17.5012366771698;[0.850433349609375, 0.9418666958808899, 0.9563166499137878, 0.9631666541099548];[0.48778125643730164, 0.19736768305301666, 0.14842084050178528, 0.12282539904117584];0.12259458005428314;0.9596999883651733;0.9710000157356262
29;0.1;0.8;3;[32, 16, 64, 10];17.177058935165405;[0.8931833505630493, 0.9402166604995728, 0.9481333494186401, 0.9529333114624023];[0.3594346344470978, 0.21560637652873993, 0.19575831294059753, 0.17597761750221252];0.1812102347612381;0.9488999843597412;0.9710000157356262
30;0.0001;0.1;3;[64, 16, 64, 10];18.50912094116211;[0.11585000157356262, 0.14845000207424164, 0.19093333184719086, 0.24713332951068878];[2.3013062477111816, 2.2742104530334473, 2.245779275894165, 2.2143449783325195];2.1954615116119385;0.27410000562667847;0.9710000157356262
31;0.0001;0.1;3;[64, 32, 64, 10];18.27297353744507;[0.15308333933353424, 0.1962166726589203, 0.24058333039283752, 0.28013333678245544];[2.2905194759368896, 2.2590713500976562, 2.229938507080078, 2.198485851287842];2.1801578998565674;0.3046000003814697;0.9710000157356262
32;1.0;0.4;3;[16, 32, 32, 10];15.826273679733276;[0.14081667363643646, 0.10289999842643738, 0.10361666977405548, 0.10401666909456253];[2.205836296081543, 2.3132684230804443, 2.3132870197296143, 2.3137779235839844];2.3099305629730225;0.10279999673366547;0.9710000157356262
33;1.0;0.1;3;[32, 32, 16, 10];17.465983152389526;[0.17599999904632568, 0.10689999908208847, 0.10493333637714386, 0.10421666502952576];[2.1276116371154785, 2.3092410564422607, 2.309067964553833, 2.309475898742676];2.304417133331299;0.10100000351667404;0.9710000157356262
34;0.01;0.8;3;[32, 32, 32, 10];18.82092809677124;[0.8727999925613403, 0.9450666904449463, 0.9565833210945129, 0.9630166888237];[0.42111191153526306, 0.1838911920785904, 0.1430177092552185, 0.12101719528436661];0.12132050842046738;0.9621999859809875;0.9710000157356262
35;1.0;0.7;3;[32, 32, 64, 10];372.88001346588135;[0.10328333079814911, 0.1040833368897438, 0.10376666486263275, 0.1004333347082138];[2.3289859294891357, 2.32501482963562, 2.3248026371002197, 2.3258395195007324];2.31221342086792;0.10279999673366547;0.9710000157356262
36;1.0;0.8;3;[32, 16, 64, 10];20.65392518043518;[0.10246666520833969, 0.10085000097751617, 0.10108333081007004, 0.10308333486318588];[2.5883629322052, 2.3366527557373047, 2.3373379707336426, 2.338303327560425];2.351630687713623;0.10320000350475311;0.9710000157356262
37;1.0;0.6;3;[64, 32, 16, 10];18.09787631034851;[0.1018500030040741, 0.10175000131130219, 0.1050499975681305, 0.10328333079814911];[2.321659564971924, 2.320017099380493, 2.3189589977264404, 2.319617748260498];2.3070244789123535;0.10090000182390213;0.9710000157356262
38;1.0;0.8;3;[32, 32, 64, 10];18.542297840118408;[0.09989999979734421, 0.10163333266973495, 0.1017666682600975, 0.10279999673366547];[2.390995740890503, 2.3380911350250244, 2.3388617038726807, 2.337303400039673];2.337547779083252;0.09740000218153;0.9710000157356262
39;0.001;0.7;3;[64, 16, 32, 10];20.25028705596924;[0.5088000297546387, 0.8370833396911621, 0.8841666579246521, 0.903333306312561];[1.5504987239837646, 0.5748298764228821, 0.3970288038253784, 0.33354854583740234];0.3092016577720642;0.9060999751091003;0.9710000157356262
40;0.001;0.4;3;[16, 32, 16, 10];17.032307863235474;[0.24843333661556244, 0.562749981880188, 0.7680833339691162, 0.8335000276565552];[2.144380569458008, 1.5155404806137085, 0.8504007458686829, 0.5846646428108215];0.503285825252533;0.8478999733924866;0.9710000157356262
41;0.1;0.0;3;[64, 16, 16, 10];18.298198461532593;[0.8909833431243896, 0.9550999999046326, 0.9656000137329102, 0.9704333543777466];[0.35273265838623047, 0.14897993206977844, 0.11458294093608856, 0.0978202298283577];0.118008553981781;0.9660000205039978;0.9710000157356262
42;0.0001;0.1;3;[16, 32, 32, 10];16.34365701675415;[0.1042499989271164, 0.12691666185855865, 0.15514999628067017, 0.1811833381652832];[2.318220615386963, 2.3002030849456787, 2.2845473289489746, 2.26749849319458];2.2581393718719482;0.18870000541210175;0.9710000157356262
43;0.1;0.8;3;[32, 32, 64, 10];17.67602229118347;[0.8981833457946777, 0.9429166913032532, 0.9506000280380249, 0.9550166726112366];[0.346434086561203, 0.20498324930667877, 0.17800042033195496, 0.16220276057720184];0.17752794921398163;0.9545999765396118;0.9710000157356262
44;0.001;0.6;3;[16, 32, 64, 10];16.76447343826294;[0.32339999079704285, 0.723883330821991, 0.8383499979972839, 0.8704166412353516];[1.9520204067230225, 0.9308176636695862, 0.5624019503593445, 0.44826173782348633];0.3996849060058594;0.883899986743927;0.9710000157356262
45;1.0;0.4;3;[32, 16, 16, 10];17.656325817108154;[0.10343333333730698, 0.10506666451692581, 0.10395000129938126, 0.10249999910593033];[2.3137476444244385, 2.313405752182007, 2.313218116760254, 2.31392240524292];2.3082447052001953;0.11349999904632568;0.9710000157356262
46;0.01;0.0;3;[32, 16, 16, 10];17.32500457763672;[0.6983166933059692, 0.8917333483695984, 0.915316641330719, 0.9297000169754028];[0.93974369764328, 0.36631500720977783, 0.29358312487602234, 0.24464835226535797];0.21903501451015472;0.9369999766349792;0.9710000157356262
47;0.0001;0.0;3;[32, 64, 64, 10];17.874200344085693;[0.10281666368246078, 0.11478333175182343, 0.13740000128746033, 0.17634999752044678];[2.317274332046509, 2.295856237411499, 2.276075839996338, 2.255432605743408];2.2448437213897705;0.19370000064373016;0.9710000157356262
48;1.0;0.9;3;[32, 16, 64, 10];19.55886173248291;[0.1005999967455864, 0.10061666369438171, 0.1000666692852974, 0.10119999945163727];[2.3782958984375, 2.3736414909362793, 2.3695223331451416, 2.3787992000579834];2.4035143852233887;0.10279999673366547;0.9710000157356262
49;0.0001;0.7;3;[16, 64, 64, 10];17.432605981826782;[0.14923332631587982, 0.22273333370685577, 0.2841833233833313, 0.3468500077724457];[2.282628297805786, 2.224573850631714, 2.1360929012298584, 2.000088691711426];1.907881259918213;0.3837999999523163;0.9710000157356262
50;0.01;0.3;3;[16, 64, 64, 10];17.42649245262146;[0.7562333345413208, 0.9113666415214539, 0.9279500246047974, 0.9372000098228455];[0.7908779382705688, 0.3005622327327728, 0.2420058399438858, 0.20997712016105652];0.19854800403118134;0.9399999976158142;0.9710000157356262
51;0.01;0.9;3;[32, 32, 16, 10];18.43665385246277;[0.8894666433334351, 0.9502000212669373, 0.9600499868392944, 0.9646000266075134];[0.36484572291374207, 0.1699601262807846, 0.13300538063049316, 0.11749610304832458];0.12913241982460022;0.9613999724388123;0.9710000157356262
52;0.001;0.9;3;[16, 32, 32, 10];16.928990364074707;[0.7326333522796631, 0.9021833539009094, 0.9175333380699158, 0.927049994468689];[0.8854261636734009, 0.3366886377334595, 0.28024181723594666, 0.2469087839126587];0.22910453379154205;0.9314000010490417;0.9710000157356262
53;0.0001;0.9;3;[64, 16, 64, 10];19.367058277130127;[0.29768332839012146, 0.5540333390235901, 0.7339000105857849, 0.8150833249092102];[2.1789863109588623, 1.6635384559631348, 1.0056440830230713, 0.6847427487373352];0.5886132121086121;0.8367000222206116;0.9710000157356262
54;0.001;0.5;3;[16, 16, 64, 10];16.79356288909912;[0.25146666169166565, 0.5587833523750305, 0.7774166464805603, 0.8411333560943604];[2.1752490997314453, 1.5460655689239502, 0.8303872346878052, 0.5488094687461853];0.4682442843914032;0.8623999953269958;0.9710000157356262
55;0.001;0.2;3;[64, 32, 16, 10];19.106060028076172;[0.3419833481311798, 0.6475833058357239, 0.8050333261489868, 0.8488666415214539];[2.0673930644989014, 1.2951633930206299, 0.7785891890525818, 0.5544587969779968];0.4815715253353119;0.8666999936103821;0.9710000157356262
56;0.001;0.0;3;[64, 16, 32, 10];18.321685075759888;[0.24488332867622375, 0.5924500226974487, 0.7852833271026611, 0.8276666402816772];[2.1428534984588623, 1.5560795068740845, 0.9112271070480347, 0.6380630731582642];0.5529976487159729;0.8431000113487244;0.9710000157356262
57;0.01;0.9;3;[64, 16, 64, 10];16.157007694244385;[0.8932333588600159, 0.9552666544914246, 0.9667999744415283, 0.9723666906356812];[0.34095874428749084, 0.14535976946353912, 0.10931871831417084, 0.09175553917884827];0.1115751564502716;0.9679999947547913;0.9710000157356262
58;0.01;0.7;3;[16, 32, 16, 10];15.089451789855957;[0.819683313369751, 0.9248166680335999, 0.9369333386421204, 0.9452000260353088];[0.5763863325119019, 0.2565077841281891, 0.20920325815677643, 0.1841142326593399];0.16677778959274292;0.9483000040054321;0.9710000157356262
59;0.1;0.0;3;[16, 64, 32, 10];14.288609266281128;[0.884066641330719, 0.9393333196640015, 0.9492666721343994, 0.9540333151817322];[0.37347695231437683, 0.19791735708713531, 0.16645322740077972, 0.14951850473880768];0.14656603336334229;0.9569000005722046;0.9710000157356262
60;0.0001;0.7;3;[16, 16, 32, 10];14.39046573638916;[0.14186666905879974, 0.22066666185855865, 0.314216673374176, 0.4064500033855438];[2.2674732208251953, 2.185460090637207, 2.0509531497955322, 1.8626060485839844];1.7429927587509155;0.46630001068115234;0.9710000157356262
61;1.0;0.1;3;[64, 64, 64, 10];17.52871036529541;[0.2051166594028473, 0.18708333373069763, 0.195866659283638, 0.15716665983200073];[1.9737545251846313, 1.9723589420318604, 1.9032301902770996, 6.599626064300537];2.318728446960449;0.10320000350475311;0.9710000157356262
62;1.0;0.0;3;[16, 64, 32, 10];14.420064926147461;[0.1969500035047531, 0.20563332736492157, 0.18628333508968353, 0.1742333322763443];[2.0383403301239014, 1.9922797679901123, 2.0153920650482178, 2.062328815460205];2.2219419479370117;0.1396999955177307;0.9710000157356262
63;0.01;0.5;3;[64, 16, 16, 10];16.471595764160156;[0.819683313369751, 0.9280499815940857, 0.9495833516120911, 0.9597166776657104];[0.5954248905181885, 0.24508854746818542, 0.17467078566551208, 0.13863971829414368];0.14082081615924835;0.9581999778747559;0.9710000157356262
64;0.0001;0.5;3;[64, 32, 64, 10];17.054049491882324;[0.11531666666269302, 0.19113333523273468, 0.31388333439826965, 0.4223000109195709];[2.281139373779297, 2.2127139568328857, 2.130333423614502, 2.0174081325531006];1.9361320734024048;0.4765999913215637;0.9710000157356262
65;1.0;0.0;3;[16, 16, 16, 10];13.968167304992676;[0.18441666662693024, 0.18868333101272583, 0.18950000405311584, 0.19421666860580444];[2.0125794410705566, 1.9980424642562866, 2.004293441772461, 1.9475271701812744];1.9265503883361816;0.20469999313354492;0.9710000157356262
66;0.1;0.9;3;[16, 32, 32, 10];14.34915041923523;[0.7879499793052673, 0.6176999807357788, 0.2931833267211914, 0.29561665654182434];[0.7311798334121704, 1.0943325757980347, 1.7604109048843384, 1.6310628652572632];1.5669798851013184;0.2994999885559082;0.9710000157356262
67;0.001;0.7;3;[32, 16, 64, 10];15.90871787071228;[0.4562000036239624, 0.8279333114624023, 0.8740666508674622, 0.8909000158309937];[1.7344526052474976, 0.6173283457756042, 0.4374689757823944, 0.3761865794658661];0.34411749243736267;0.900600016117096;0.9710000157356262
68;1.0;0.5;3;[16, 64, 64, 10];15.215191841125488;[0.13101667165756226, 0.10266666859388351, 0.10320000350475311, 0.10421666502952576];[2.217113494873047, 2.315290689468384, 2.3153574466705322, 2.3157129287719727];2.3069565296173096;0.0957999974489212;0.9710000157356262
69;0.001;0.4;3;[16, 32, 32, 10];14.47592043876648;[0.32456666231155396, 0.6944833397865295, 0.8231499791145325, 0.8569499850273132];[2.0596110820770264, 1.1757917404174805, 0.6328922510147095, 0.4989975392818451];0.4402390122413635;0.875;0.9710000157356262
70;1.0;0.9;3;[64, 16, 16, 10];17.430481672286987;[0.10278332978487015, 0.10225000232458115, 0.10074999928474426, 0.10388333350419998];[2.3752589225769043, 2.3715837001800537, 2.376211643218994, 2.3685450553894043];2.3340260982513428;0.11349999904632568;0.9710000157356262
71;1.0;0.4;3;[32, 64, 64, 10];16.256697177886963;[0.10613333433866501, 0.10426666587591171, 0.1033666655421257, 0.10369999706745148];[2.312549591064453, 2.3135488033294678, 2.31320858001709, 2.314220428466797];2.3117377758026123;0.11349999904632568;0.9710000157356262
72;0.01;0.3;3;[16, 16, 16, 10];14.253045082092285;[0.7379666566848755, 0.9057666659355164, 0.9232000112533569, 0.9309666752815247];[0.8488581776618958, 0.3295768201351166, 0.26956772804260254, 0.24022133648395538];0.22310800850391388;0.9348000288009644;0.9710000157356262
73;1.0;0.3;3;[64, 32, 64, 10];16.935245752334595;[0.11514999717473984, 0.1046999990940094, 0.10145000368356705, 0.10553333163261414];[2.29260516166687, 2.311649799346924, 2.3122901916503906, 2.3117058277130127];2.3142483234405518;0.09740000218153;0.9710000157356262
74;0.0001;0.1;3;[32, 16, 64, 10];16.158393144607544;[0.09966666996479034, 0.13456666469573975, 0.16333332657814026, 0.18533332645893097];[2.3141603469848633, 2.291945457458496, 2.2702324390411377, 2.2474303245544434];2.2346878051757812;0.19050000607967377;0.9710000157356262
75;0.1;0.4;3;[32, 64, 64, 10];16.085644960403442;[0.9058166742324829, 0.953499972820282, 0.9635666608810425, 0.9696999788284302];[0.30686086416244507, 0.14979684352874756, 0.11785943806171417, 0.09968936443328857];0.10957784205675125;0.9667999744415283;0.9710000157356262
76;0.001;0.3;3;[32, 32, 32, 10];15.964404344558716;[0.2883666753768921, 0.6068833470344543, 0.7906333208084106, 0.8436333537101746];[2.1366825103759766, 1.4321353435516357, 0.7655600905418396, 0.5510600209236145];0.47575098276138306;0.8668000102043152;0.9710000157356262
77;0.0001;0.9;3;[64, 32, 64, 10];21.86335062980652;[0.2334499955177307, 0.6142833232879639, 0.7961999773979187, 0.8451666831970215];[2.164619207382202, 1.5050101280212402, 0.8288509249687195, 0.5787656307220459];0.498913437128067;0.8662999868392944;0.9710000157356262
78;0.001;0.0;3;[16, 16, 32, 10];14.664671421051025;[0.18896666169166565, 0.39320001006126404, 0.6143166422843933, 0.7482666373252869];[2.2380669116973877, 1.914279580116272, 1.3425372838974, 0.910031795501709];0.7585050463676453;0.7871000170707703;0.9710000157356262
79;0.001;0.8;3;[32, 64, 32, 10];21.944714307785034;[0.5939499735832214, 0.8678666949272156, 0.898983359336853, 0.9127833247184753];[1.4001582860946655, 0.45512154698371887, 0.3457285761833191, 0.2987001836299896];0.27218928933143616;0.9203000068664551;0.9710000157356262
80;0.01;0.0;3;[32, 64, 16, 10];16.46957540512085;[0.7004166841506958, 0.8992499709129333, 0.9172166585922241, 0.9285666942596436];[0.9796529412269592, 0.34651076793670654, 0.2830340564250946, 0.24320317804813385];0.21769756078720093;0.932699978351593;0.9710000157356262
81;0.001;0.6;3;[16, 16, 16, 10];14.419807434082031;[0.24498333036899567, 0.6234833598136902, 0.7567999958992004, 0.8178499937057495];[2.1050076484680176, 1.248238444328308, 0.7734355926513672, 0.5954535007476807];0.501823902130127;0.8495000004768372;0.9710000157356262
82;0.1;0.3;3;[32, 32, 64, 10];16.090664625167847;[0.8991000056266785, 0.9495833516120911, 0.9594833254814148, 0.9647166728973389];[0.3252052664756775, 0.16650114953517914, 0.13600248098373413, 0.11553128808736801];0.13510817289352417;0.9598000049591064;0.9710000157356262
83;0.01;0.3;3;[32, 16, 16, 10];15.83512020111084;[0.7758499979972839, 0.9137833118438721, 0.9322166442871094, 0.9419999718666077];[0.7327879667282104, 0.29457297921180725, 0.2325558364391327, 0.19633246958255768];0.17990386486053467;0.9470000267028809;0.9710000157356262
84;0.001;0.8;3;[32, 64, 16, 10];15.699516296386719;[0.6594499945640564, 0.8833833336830139, 0.9050499796867371, 0.916366696357727];[1.1518648862838745, 0.4168489873409271, 0.3345547914505005, 0.29293763637542725];0.2686072289943695;0.9229000210762024;0.9710000157356262
85;0.1;0.4;3;[32, 16, 32, 10];16.043945789337158;[0.8950833082199097, 0.9480833411216736, 0.9554499983787537, 0.9617999792098999];[0.3419952988624573, 0.17458537220954895, 0.14616656303405762, 0.12669870257377625];0.1596202254295349;0.9539999961853027;0.9710000157356262
86;0.0001;0.1;3;[16, 32, 16, 10];14.321981191635132;[0.0860000029206276, 0.10653333365917206, 0.1316833347082138, 0.1504666656255722];[2.306640386581421, 2.283716917037964, 2.2663896083831787, 2.2482059001922607];2.23858642578125;0.15800000727176666;0.9710000157356262
87;0.0001;0.1;3;[64, 32, 16, 10];17.42571997642517;[0.10366666316986084, 0.14010000228881836, 0.179133340716362, 0.2216833382844925];[2.3105783462524414, 2.243006706237793, 2.199199914932251, 2.1557486057281494];2.120927572250366;0.25130000710487366;0.9710000157356262
88;0.001;0.1;3;[16, 16, 16, 10];15.143948554992676;[0.21656666696071625, 0.47644999623298645, 0.6366000175476074, 0.7419833540916443];[2.1767284870147705, 1.7802308797836304, 1.2334321737289429, 0.8685222864151001];0.7440856695175171;0.7865999937057495;0.9710000157356262
89;0.1;0.5;3;[32, 64, 16, 10];16.925997257232666;[0.9020166397094727, 0.9514166712760925, 0.9613333344459534, 0.9667999744415283];[0.3170674443244934, 0.16229160130023956, 0.1312912255525589, 0.11157232522964478];0.12418026477098465;0.9645000100135803;0.9710000157356262
90;0.1;0.4;3;[32, 64, 64, 10];16.975652933120728;[0.9049166440963745, 0.954883337020874, 0.9645500183105469, 0.9706166386604309];[0.3045389950275421, 0.14675740897655487, 0.11736197024583817, 0.09736159443855286];0.10752281546592712;0.9677000045776367;0.9710000157356262
91;0.1;0.2;3;[16, 16, 16, 10];14.6621413230896;[0.8704666495323181, 0.930649995803833, 0.9409999847412109, 0.9468500018119812];[0.4196794927120209, 0.23441524803638458, 0.1981165111064911, 0.1772838830947876];0.16495077311992645;0.9524999856948853;0.9710000157356262
92;0.0001;0.9;3;[32, 32, 16, 10];16.48879647254944;[0.19255000352859497, 0.4106000065803528, 0.6606000065803528, 0.7631333470344543];[2.2032740116119385, 1.770066261291504, 1.270949125289917, 0.8846014738082886];0.7381865978240967;0.8054999709129333;0.9710000157356262
93;0.01;0.7;3;[64, 64, 32, 10];17.70175337791443;[0.8768666386604309, 0.9447333216667175, 0.9585666656494141, 0.9656333327293396];[0.4169327914714813, 0.18908552825450897, 0.14002013206481934, 0.11297812312841415];0.11129814386367798;0.9652000069618225;0.9710000157356262
94;0.001;0.5;3;[64, 32, 32, 10];17.249882459640503;[0.374266654253006, 0.8050500154495239, 0.8607000112533569, 0.8805833458900452];[1.8353091478347778, 0.7297104001045227, 0.48379582166671753, 0.4121679961681366];0.37684565782546997;0.8898000121116638;0.9710000157356262
95;1.0;0.8;3;[16, 32, 64, 10];14.658556461334229;[0.10048333555459976, 0.10026666522026062, 0.1018500030040741, 0.10334999859333038];[2.341709613800049, 2.3388540744781494, 2.3372292518615723, 2.3365395069122314];2.351719379425049;0.10090000182390213;0.9710000157356262
96;0.0001;0.5;3;[16, 32, 16, 10];14.380205392837524;[0.16323333978652954, 0.20543333888053894, 0.258566677570343, 0.3276333212852478];[2.279151678085327, 2.249488592147827, 2.208103656768799, 2.15285062789917];2.121920585632324;0.3490999937057495;0.9710000157356262
97;0.1;0.9;3;[32, 32, 64, 10];16.34842324256897;[0.8561166524887085, 0.9083166718482971, 0.7698000073432922, 0.10080000013113022];[0.5444795489311218, 0.3802696168422699, 0.7634605765342712, 2.3082242012023926];2.30568790435791;0.10090000182390213;0.9710000157356262
98;0.001;0.3;3;[32, 16, 64, 10];17.71646809577942;[0.2859500050544739, 0.5294666886329651, 0.7403666377067566, 0.8184166550636292];[2.200462818145752, 1.606574535369873, 0.9168345928192139, 0.646673321723938];0.5576061606407166;0.8476999998092651;0.9710000157356262
99;0.0001;0.5;3;[64, 32, 16, 10];19.81133222579956;[0.11036666482686996, 0.1503833383321762, 0.19175000488758087, 0.24703332781791687];[2.29860782623291, 2.2530410289764404, 2.2031843662261963, 2.142735719680786];2.1024067401885986;0.27959999442100525;0.9710000157356262
