;Learning_rate;Momentum;Number_of_hidden_layers;Number_of_nodes_per_layer;Time;training_accuracies;training_losses;test_loss;test_acc;max_acc
22;0.001;0.4;3;[64, 32, 32, 10];23.130996465682983;[0.3423500061035156, 0.7473000288009644, 0.8442000150680542, 0.8768666386604309];[1.9487030506134033, 0.9508305788040161, 0.5683413147926331, 0.4435170888900757];0.39187493920326233;0.8910999894142151;0.9456999897956848
23;0.0001;0.7;3;[16, 64, 32, 10];16.90881657600403;[0.10228333622217178, 0.14703333377838135, 0.20231667160987854, 0.26664999127388];[2.303267478942871, 2.2715389728546143, 2.2342281341552734, 2.1748337745666504];2.1291234493255615;0.298799991607666;0.9456999897956848
24;0.0001;0.2;3;[64, 16, 32, 10];22.892401218414307;[0.11649999767541885, 0.15809999406337738, 0.20621666312217712, 0.25368332862854004];[2.3026702404022217, 2.2503631114959717, 2.198516368865967, 2.13712477684021];2.100921154022217;0.2791000008583069;0.9456999897956848
25;0.0001;0.9;3;[64, 16, 64, 10];42.46094846725464;[0.21433334052562714, 0.45186665654182434, 0.7511166930198669, 0.816016674041748];[2.1947686672210693, 1.7521981000900269, 1.0713428258895874, 0.6877715587615967];0.5793691277503967;0.8335000276565552;0.9456999897956848
26;0.001;0.7;3;[32, 16, 32, 10];19.508108139038086;[0.41011667251586914, 0.8274833559989929, 0.8751500248908997, 0.895466685295105];[1.7632602453231812, 0.6076871156692505, 0.42541855573654175, 0.3645893335342407];0.3275451064109802;0.9039000272750854;0.9456999897956848
27;0.0001;0.5;3;[64, 64, 32, 10];21.738409280776978;[0.17733334004878998, 0.29714998602867126, 0.37281665205955505, 0.43915000557899475];[2.2710094451904297, 2.1626672744750977, 2.042689561843872, 1.9027810096740723];1.8048757314682007;0.4846000075340271;0.9456999897956848
28;0.01;0.9;3;[64, 64, 32, 10];22.849712133407593;[0.9016500115394592, 0.9585333466529846, 0.9685666561126709, 0.9740666747093201];[0.3218608796596527, 0.1377238631248474, 0.10254274308681488, 0.08515854179859161];0.09772597253322601;0.9707000255584717;0.9707000255584717
29;1.0;0.0;3;[64, 64, 16, 10];22.090211868286133;[0.1943666636943817, 0.10391666740179062, 0.10485000163316727, 0.1062166690826416];[473806048.0, 2.3087093830108643, 2.3085744380950928, 2.3082704544067383];2.305809259414673;0.11349999904632568;0.9707000255584717
30;1.0;0.9;3;[64, 64, 64, 10];22.937204599380493;[0.10008333623409271, 0.10239999741315842, 0.10483333468437195, 0.10270000249147415];[3.003967761993408, 2.37499737739563, 2.371666669845581, 2.3774335384368896];2.420879602432251;0.0982000008225441;0.9707000255584717
31;0.1;0.2;3;[16, 32, 64, 10];16.549415111541748;[0.8826166391372681, 0.9388666749000549, 0.9503833055496216, 0.9551500082015991];[0.3795846402645111, 0.19951507449150085, 0.16499191522598267, 0.14809851348400116];0.13792932033538818;0.9573000073432922;0.9707000255584717
32;0.001;0.1;3;[64, 32, 64, 10];22.2578022480011;[0.3008166551589966, 0.6834999918937683, 0.816100001335144, 0.8590166568756104];[2.0806682109832764, 1.2078731060028076, 0.6869871020317078, 0.5173343420028687];0.4533143639564514;0.8758000135421753;0.9707000255584717
33;0.001;0.2;3;[16, 32, 32, 10];16.34695839881897;[0.23194999992847443, 0.5363666415214539, 0.765250027179718, 0.8204500079154968];[2.190531015396118, 1.6349282264709473, 0.9033071994781494, 0.6183360815048218];0.5359112024307251;0.8396999835968018;0.9707000255584717
34;0.0001;0.0;3;[32, 16, 64, 10];19.264213800430298;[0.08993333578109741, 0.12070000171661377, 0.15283332765102386, 0.18664999306201935];[2.3145554065704346, 2.2974140644073486, 2.2821707725524902, 2.267280101776123];2.2585206031799316;0.20440000295639038;0.9707000255584717
35;0.1;0.6;3;[64, 32, 32, 10];21.949333667755127;[0.9135833382606506, 0.9577166438102722, 0.9659000039100647, 0.9718833565711975];[0.2790178954601288, 0.14069463312625885, 0.11213883757591248, 0.09287697821855545];0.15086166560649872;0.9613000154495239;0.9707000255584717
36;0.001;0.5;3;[32, 32, 32, 10];19.36444616317749;[0.3502666652202606, 0.7222499847412109, 0.8359166383743286, 0.8777833580970764];[1.9573912620544434, 0.9946938753128052, 0.5801854729652405, 0.43650683760643005];0.38374581933021545;0.8895000219345093;0.9707000255584717
37;1.0;0.7;3;[64, 64, 32, 10];21.63915705680847;[0.10419999808073044, 0.10050000250339508, 0.10189999639987946, 0.1028333306312561];[2.3279213905334473, 2.3251256942749023, 2.324692726135254, 2.325209379196167];2.3185036182403564;0.09799999743700027;0.9707000255584717
38;0.01;0.5;3;[32, 16, 64, 10];19.605007648468018;[0.810366690158844, 0.918316662311554, 0.9348499774932861, 0.946316659450531];[0.6314390897750854, 0.28149962425231934, 0.22067755460739136, 0.18365229666233063];0.17012199759483337;0.948199987411499;0.9707000255584717
39;0.0001;0.7;3;[64, 16, 16, 10];22.325915575027466;[0.17536666989326477, 0.32463333010673523, 0.4519166648387909, 0.5391499996185303];[2.2365939617156982, 2.1071724891662598, 1.90974760055542, 1.6372292041778564];1.4623486995697021;0.6087999939918518;0.9707000255584717
40;1.0;0.2;3;[64, 64, 64, 10];23.0044686794281;[0.10713333636522293, 0.10459999740123749, 0.10395000129938126, 0.10548333078622818];[2.312199831008911, 2.310480833053589, 2.3102426528930664, 2.310499906539917];2.3078689575195312;0.0957999974489212;0.9707000255584717
41;1.0;0.0;3;[64, 32, 32, 10];21.96259570121765;[0.20643332600593567, 0.10558333247900009, 0.10409999638795853, 0.10324999690055847];[2.1803247928619385, 2.3083674907684326, 2.3087329864501953, 2.308598279953003];2.3119843006134033;0.11349999904632568;0.9707000255584717
42;0.001;0.7;3;[32, 32, 16, 10];19.89145517349243;[0.3804166615009308, 0.7964333295822144, 0.8586166501045227, 0.8830333352088928];[1.8316692113876343, 0.7105329632759094, 0.4884069859981537, 0.4088379442691803];0.36930692195892334;0.8913999795913696;0.9707000255584717
43;0.01;0.9;3;[32, 32, 16, 10];19.915361404418945;[0.8782333135604858, 0.9465833306312561, 0.9572333097457886, 0.9635999798774719];[0.38897332549095154, 0.1758762001991272, 0.1410488337278366, 0.1175171434879303];0.12842434644699097;0.9610999822616577;0.9707000255584717
